country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Iran,2007,Asia,0.507775,6.577,236.52,225.18,6.806,1098784571392.0,14728.493294889298,0.005
Iran,2008,Asia,0.5285359999999999,5.859,246.875,233.945,6.999,1132365742080.0,14995.40142224906,0.006
Iran,2009,Asia,0.543413,4.393,261.065,232.918,7.107,1208128372736.0,15801.23763823175,0.006
Iran,2010,Asia,0.561496,5.448,277.22,227.533,7.253,1310507008000.0,16927.05484563771,0.006
Iran,2011,Asia,0.5761459999999999,5.313,293.263,223.695,7.35,1345049329664.0,17159.830568439556,0.006
Iran,2012,Asia,0.599121,4.129,292.274,247.162,7.548,1324570771456.0,16688.43444750809,0.007
Iran,2013,Asia,0.609839,4.118,294.934,253.329,7.584,1287095582720.0,16005.72749495714,0.007
Iran,2014,Asia,0.6441509999999999,3.591,335.007,247.8,7.903,1352736964608.0,16597.583098779913,0.007
Iran,2015,Asia,0.6419109999999999,4.302,356.769,227.053,7.769,1331012173824.0,16110.171917007592,0.008
Iran,2016,Asia,0.6446839999999999,3.451,380.704,200.124,7.692,1413723717632.0,16867.74990356121,0.008
Iran,2017,Asia,0.6964,4.708,399.504,229.059,8.19,1486668300288.0,17484.710493535087,0.008
Iran,2018,Asia,0.689783,4.459,390.843,231.77,8.01,1483607244800.0,17227.609150235723,0.008
Iran,2019,Asia,0.735347,4.847,429.315,239.919,8.447,1438754537472.0,16527.596973231306,0.009
Iran,2020,Asia,0.756606,5.577,465.332,221.965,8.625,1446203752448.0,16485.94324997219,0.009
Iran,2021,Asia,0.779756,5.181,476.04,228.62,8.815,1525523152896.0,17246.22333390247,0.009
Iran,2022,Asia,0.800747,5.348,496.507,231.813,8.944,1572209033216.0,17561.823594182257,0.01
Japan,1992,Asia,1.178892,313.007,126.491,687.491,9.478,3856515727360.0,31004.991090673957,0.016
Japan,1993,Asia,1.1718920000000002,318.422,129.389,672.881,9.387,3860865220608.0,30926.519090258556,0.016
Japan,1994,Asia,1.226893,326.205,135.69,712.947,9.793,3893220605952.0,31074.45221153356,0.017
Japan,1995,Asia,1.239195,336.139,140.649,710.223,9.86,3997430972416.0,31808.278779364413,0.017
Japan,1996,Asia,1.251695,344.945,146.434,707.765,9.936,4118875209728.0,32695.893927210574,0.018
Japan,1997,Asia,1.244395,350.478,151.069,692.896,9.855,4160709459968.0,32951.95775911864,0.018
Japan,1998,Asia,1.204594,328.119,154.61,677.016,9.519,4111245246464.0,32487.331912989623,0.019
Japan,1999,Asia,1.2411949999999998,346.12,163.856,686.568,9.788,4098283012096.0,32320.444781383852,0.02
Japan,2000,Asia,1.263993,372.971,168.728,677.303,9.951,4209652006912.0,33139.61305690921,0.02
